0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:15:38 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:15:38 +0530] "GET /ORSProject3/js/jquery.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:16:03 +0530] "POST /ORSProject3/LoginCtl HTTP/1.1" 200 11875
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:16:03 +0530] "GET /ORSProject3/js/bootstrap.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:16:03 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:16:03 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:16:03 +0530] "GET /ORSProject3/js/jquery.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:16:03 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:16:03 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:16:03 +0530] "GET /ORSProject3/js/jquery.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:16:10 +0530] "POST /ORSProject3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:16:10 +0530] "GET /ORSProject3/WelcomeCtl HTTP/1.1" 200 17259
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:16:10 +0530] "GET /ORSProject3/js/bootstrap.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:16:10 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:16:10 +0530] "GET /ORSProject3/js/jquery.min.js HTTP/1.1" 404 1090
